portal,role_query,title,company,location,url,posted,scraped_at
LinkedIn,TPM,"Senior Manager, Continuous Process Improvement",The Clorox Company,"Alpharetta, GA",https://www.linkedin.com/jobs/view/senior-manager-continuous-process-improvement-at-the-clorox-company-4376098493?position=1&pageNum=0&refId=zhgknVFI%2B4R5ELGKcS0ioQ%3D%3D&trackingId=8DhQpz8%2B97AB8xMnL5vZ6g%3D%3D,1 month ago,2026-04-21T12:09:51.998051
LinkedIn,TPM,Director of Continuous Improvement,MAS HVAC,"Maple Grove, MN",https://www.linkedin.com/jobs/view/director-of-continuous-improvement-at-mas-hvac-4399591208?position=2&pageNum=0&refId=zhgknVFI%2B4R5ELGKcS0ioQ%3D%3D&trackingId=Amn5uqWJ%2Fea4sRZg0XMtiw%3D%3D,1 week ago,2026-04-21T12:09:51.999062
LinkedIn,TPM,"Data Scientist, Analytics (Technical Leadership)",Meta,"New York, NY",https://www.linkedin.com/jobs/view/data-scientist-analytics-technical-leadership-at-meta-4254370691?position=3&pageNum=0&refId=zhgknVFI%2B4R5ELGKcS0ioQ%3D%3D&trackingId=WwdaJghzkZHnWHK2nNYH7A%3D%3D,5 days ago,2026-04-21T12:09:51.999062
LinkedIn,TPM,Project Manager – Process Management,"Princeton IT Services, Inc","New York, NY",https://www.linkedin.com/jobs/view/project-manager-%E2%80%93-process-management-at-princeton-it-services-inc-4366208123?position=4&pageNum=0&refId=zhgknVFI%2B4R5ELGKcS0ioQ%3D%3D&trackingId=Ok7gngToUywE3d7vgx2Gdg%3D%3D,2 months ago,2026-04-21T12:09:51.999062
LinkedIn,TPM,Director of Continuous Improvement,Aalberts integrated piping systems,"Pageland, SC",https://www.linkedin.com/jobs/view/director-of-continuous-improvement-at-aalberts-integrated-piping-systems-4398848113?position=5&pageNum=0&refId=zhgknVFI%2B4R5ELGKcS0ioQ%3D%3D&trackingId=WWatQqTXmGaq2I0E0PjP3A%3D%3D,1 week ago,2026-04-21T12:09:51.999062
LinkedIn,TPM,Continuous Process Improvement Sr. Manager,The Clorox Company,"Spring Hill, KS",https://www.linkedin.com/jobs/view/continuous-process-improvement-sr-manager-at-the-clorox-company-4388113843?position=6&pageNum=0&refId=zhgknVFI%2B4R5ELGKcS0ioQ%3D%3D&trackingId=ZpENZByB%2F%2F%2BxotOc6HvqJw%3D%3D,1 week ago,2026-04-21T12:09:51.999062
LinkedIn,TPM,Project Administrative Assistant,Kelly,Greater St. Louis,https://www.linkedin.com/jobs/view/project-administrative-assistant-at-kelly-4402061465?position=7&pageNum=0&refId=zhgknVFI%2B4R5ELGKcS0ioQ%3D%3D&trackingId=cqbGeF8XRZb7QF2sQ0i23A%3D%3D,6 days ago,2026-04-21T12:09:51.999062
LinkedIn,TPM,Chief Operating Officer,VVater,"Austin, TX",https://www.linkedin.com/jobs/view/chief-operating-officer-at-vvater-4303390357?position=8&pageNum=0&refId=zhgknVFI%2B4R5ELGKcS0ioQ%3D%3D&trackingId=IES6tY9I0RpGeoV6%2BnVJmw%3D%3D,7 months ago,2026-04-21T12:09:51.999062
LinkedIn,TPM,Regional TPM Site Operations Lead,"PECO Pallet, Inc.","North Canton, OH",https://www.linkedin.com/jobs/view/regional-tpm-site-operations-lead-at-peco-pallet-inc-4399486794?position=9&pageNum=0&refId=zhgknVFI%2B4R5ELGKcS0ioQ%3D%3D&trackingId=aem1ymwjMJghzCi7FbOq%2Fg%3D%3D,1 week ago,2026-04-21T12:09:51.999062
LinkedIn,TPM,Regional Operations Excellence Leader,Sealed Air Corporation,"Dallas, TX",https://www.linkedin.com/jobs/view/regional-operations-excellence-leader-at-sealed-air-corporation-4381658913?position=10&pageNum=0&refId=zhgknVFI%2B4R5ELGKcS0ioQ%3D%3D&trackingId=GVUjuTQmzBHQ3KKA9CNKIA%3D%3D,1 month ago,2026-04-21T12:09:51.999062
LinkedIn,TPM,Product Operations Manager,Decagon,"San Francisco, CA",https://www.linkedin.com/jobs/view/product-operations-manager-at-decagon-4366701737?position=11&pageNum=0&refId=zhgknVFI%2B4R5ELGKcS0ioQ%3D%3D&trackingId=wvoDC3xneuJLhDGjMcjikQ%3D%3D,2 weeks ago,2026-04-21T12:09:52.000061
LinkedIn,TPM,Senior Vice President Operations,The Sterling Choice,"Oak Brook, IL",https://www.linkedin.com/jobs/view/senior-vice-president-operations-at-the-sterling-choice-4391788258?position=12&pageNum=0&refId=zhgknVFI%2B4R5ELGKcS0ioQ%3D%3D&trackingId=afIXI3pe0HFHRufrWxSRCQ%3D%3D,3 weeks ago,2026-04-21T12:09:52.000061
LinkedIn,TPM,Continuous Improvement Manager,Kerry,"Melrose Park, IL",https://www.linkedin.com/jobs/view/continuous-improvement-manager-at-kerry-4403519634?position=13&pageNum=0&refId=zhgknVFI%2B4R5ELGKcS0ioQ%3D%3D&trackingId=x71vcbPvRxFVfhYsKIKlaA%3D%3D,3 days ago,2026-04-21T12:09:52.000061
